id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender,wikidata,wikidata_group,wikidata_area
7f2f77b4-3aa0-491e-92a6-4e749fcd1101,Atatoa Herman,Atatoa Herman,,,,CIP,cip,ngatangiia,Ngatangiia,Parliament,13,,,,male,Q4812881,Q2429562,
44cacb00-6ba7-4977-8604-140dc9386a6a,George Angene,George Angene,,,,CIP,cip,tupapa-maraerenga,Tupapa-Maraerenga,Parliament,13,,,,male,Q5536264,Q2429562,
149f1026-ad5e-4e56-83b9-aa806cf79121,Henry Puna,Henry Puna,,,,CIP,cip,manihiki,Manihiki,Parliament,13,,,https://upload.wikimedia.org/wikipedia/commons/1/1d/Henry_Puna_2015.jpg,male,Q2569345,Q2429562,
487d743d-fd41-4662-bafa-4d91217225ef,Jim Marurai,Jim Marurai,,,,DP,dp,ivirua,Ivirua,Parliament,13,,,,male,Q381810,Q2429581,
c522a9a8-37fb-45d4-8c0c-c137975d0ba9,John Henry,John Henry,,,,CIP,cip,avatiu-ruatonga-palmerston,Avatiu-Ruatonga-Palmerston,Parliament,13,,,,male,Q6238703,Q2429562,
8ce97539-1008-4ba1-98fa-aeba3b8cf279,Kiriau Turepu,Kiriau Turepu,,,,CIP,cip,matavera,Matavera,Parliament,13,,,,male,Q6415093,Q2429562,
0b08be51-b92b-4f82-bbd9-4d4ae4d30b94,Mark Brown,Mark Brown,,,,CIP,cip,takuvaine-tutakimoa,Takuvaine-Tutakimoa,Parliament,13,,,,male,Q6766871,Q2429562,
8ccf56a1-b3d4-4782-bf68-753339caaf48,Moana Ioane,Moana Ioane,,,,CIP,cip,vaipae-tautu,Vaipae-Tautu,Parliament,13,,,,male,Q6886399,Q2429562,
2f72b03e-28e0-4bef-8341-351436628e60,Nandi Glassie,Nandi Glassie,,,,CIP,cip,tengatangi-areora-ngatiarua,Tengatangi-Areora-Ngatiarua,Parliament,13,,,,male,Q3335628,Q2429562,
12d87f4e-760c-45ae-a72f-ec387fd1c381,Ngamau Munokoa,Ngamau Munokoa,,,,DP,dp,nikao-panama,Nikao-Panama,Parliament,13,,,,female,Q3339268,Q2429581,
81c97e86-f40a-4801-bf02-f65dd1425634,Norman George,Norman George,,,,CIP,cip,teenui-mapumai,Teenui-Mapumai,Parliament,13,,,,male,Q3343780,Q2429562,
6a72d2bc-e26c-434f-9afc-0d28ad8791e0,Pukeiti Pukeiti,Pukeiti Pukeiti,,,,CIP,cip,tamarua,Tamarua,Parliament,13,,,,male,Q7259108,Q2429562,
13620f66-7f7f-4eee-b1d6-c2deafe1a232,Robert Wigmore,Robert Wigmore,,,,DP,dp,titikaveka,Titikaveka,Parliament,13,,,,male,Q3324531,Q2429581,
4a9dcd4c-4e01-444a-be2b-4828a04fbc52,Tai Ravarua,Tai Ravarua,,,,DP,dp,pukapuka-nassau,Pukapuka-Nassau,Parliament,13,,,,,,Q2429581,
6c8d3c61-259a-4b02-ad46-855d13f14f83,Tai Tura,Tai Tura,,,,CIP,cip,mauke,Mauke,Parliament,13,,,,male,Q7675846,Q2429562,
879c105b-3461-4cc5-aebb-daa8aaf78c9d,Tangata Vavia,Tangata Vavia,,,,DP,dp,mitiaro,Mitiaro,Parliament,13,,,,male,Q3391011,Q2429581,
b725d6c3-e41c-4177-babd-13abe20a740f,Taunga Toka,Taunga Toka,,,,DP,dp,rakahanga,Rakahanga,Parliament,13,,,,male,Q7688729,Q2429581,
db852fe6-1f60-44e9-8663-4343c538e929,Teariki Heather,Teariki Heather,,,,CIP,cip,akaoa,Akaoa,Parliament,13,,,,male,Q3391017,Q2429562,
6471d986-ab1a-48ff-9526-9b4536be5bfc,Teina Bishop,Teina Bishop,,,,CIP,cip,arutanga-reureu-nikaupara,Arutanga-Reureu-Nikaupara,Parliament,13,,,,male,Q3391383,Q2429562,
eb013ebb-2e16-4393-9be8-69b6a2209ae4,Tekii Lazaro,Tekii Lazaro,,,,CIP,cip,pukapuka-nassau,Pukapuka-Nassau,Parliament,13,,,,male,Q7695346,Q2429562,
29caf39a-f9bf-464b-8155-3b557bbc6497,Toanui Isamaela,Toanui Isamaela,,,,CIP,cip,amuri-ureia,Amuri-Ureia,Parliament,13,,,,male,Q7811397,Q2429562,
784f15bd-3c31-4252-b89e-28be7046f3a4,Tom Marsters,Tom Marsters,,,,CIP,cip,murienua,Murienua,Parliament,13,,,https://upload.wikimedia.org/wikipedia/commons/4/46/Tom_Marsters_2011.jpg,male,Q3391025,Q2429562,
469ec8ce-e91a-4521-ad78-e2132b1b48b4,Wilkie Rasmussen,Wilkie Rasmussen,,,,DP,dp,penrhyn,Penrhyn,Parliament,13,,,,male,Q3391007,Q2429581,
d8bc54a6-c440-432f-862a-086bed35e89f,William (Smiley) Heather,William (Smiley) Heather,,,,DP,dp,ruaau,Ruaau,Parliament,13,,,,male,Q3391029,Q2429581,
b96cbc5c-e261-4c18-9340-2dcf9f43c0bc,Winton Pickering,Winton Pickering,,,,DP,dp,oneroa,Oneroa,Parliament,13,,,,male,Q3390985,Q2429581,
