id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
e5da3a6e-7fe7-4325-b936-325a44babca8,Adam Price,Adam Price,Adam.Price@assembly.wales,_adam_price,AdamPricePlaid,Plaid Cymru,plaid_cymru,ocd-division/country:gb-wls/region:mid_and_west_wales/constituency:carmarthen_east_and_dinefwr,Carmarthen East and Dinefwr,National Assembly for Wales,5,,,http://senedd.assembly.wales/UserData/0/3/0/Info00005030/bigpic.jpg,male
6b1fa908-a30b-4e5a-ae0a-4934ac55df54,Alun Davies,Alun Davies,Alun.Davies@assembly.wales,AlunDaviesAM,AMAlunDavies,Welsh Labour,welsh_labour,ocd-division/country:gb-wls/region:south_wales_east/constituency:blaenau_gwent,Blaenau Gwent,National Assembly for Wales,5,,,http://senedd.assembly.wales/UserData/5/2/2/Info00000225/bigpic.jpg,male
4e31d446-8dd5-405a-a37f-bab74e27b406,Andrew RT Davies,Andrew RT Davies,AndrewRT.Davies@assembly.wales,AndrewRTDavies,AndrewRTDaviesAM,Welsh Conservative Party,welsh_conservative_party,ocd-division/country:gb-wls/region:south_wales_central,South Wales Central,National Assembly for Wales,5,,,http://senedd.assembly.wales/UserData/3/4/1/Info00000143/bigpic.jpg,male
9567b3cb-2a07-4857-bdb6-3a98cfacf8c6,Angela Burns,Angela Burns,Angela.Burns@assembly.wales,AngelaBurnsAM,,Welsh Conservative Party,welsh_conservative_party,ocd-division/country:gb-wls/region:mid_and_west_wales/constituency:carmarthen_west_and_south_pembrokeshire,Carmarthen West and South Pembrokeshire,National Assembly for Wales,5,,,http://senedd.assembly.wales/UserData/5/3/1/Info00000135/bigpic.jpg,female
0466dffe-1daa-404e-b17e-af90f8963ef8,Ann Jones,Ann Jones,Ann.Jones@assembly.wales,ann_jonesam,,Welsh Labour,welsh_labour,ocd-division/country:gb-wls/region:north_wales/constituency:vale_of_clwyd,Vale of Clwyd,National Assembly for Wales,5,,,http://senedd.assembly.wales/UserData/1/6/1/Info00000161/bigpic.jpg,female
0fade98b-624a-4129-9c8b-f9e97f82b6d7,Bethan Jenkins,Bethan Jenkins,Bethan.Jenkins@assembly.wales,bethanjenkins,Bethan-Jenkins-Plaid-Cymru-Assembly-Member-38277580617,Plaid Cymru,plaid_cymru,ocd-division/country:gb-wls/region:south_wales_west,South Wales West,National Assembly for Wales,5,,,http://senedd.assembly.wales/UserData/9/5/1/Info00000159/bigpic.jpg,female
68d2723c-5d88-4c0a-9cfb-baffc7db528d,Carl Sargeant,Carl Sargeant,Carl.Sargeant@assembly.wales,Carl4AandD,,Welsh Labour,welsh_labour,ocd-division/country:gb-wls/region:north_wales/constituency:alyn_and_deeside,Alyn and Deeside,National Assembly for Wales,5,,,http://senedd.assembly.wales/UserData/8/7/1/Info00000178/bigpic.jpg,male
3d912847-69b6-4f42-821c-0ef2edc78aed,Caroline Jones,Caroline Jones,Caroline.Jones@assembly.wales,CarolineUKIP,,United Kingdom Independence Party (UKIP),united_kingdom_independence_party_(ukip),ocd-division/country:gb-wls/region:south_wales_west,South Wales West,National Assembly for Wales,5,,,http://senedd.assembly.wales/UserData/0/6/2/Info00005260/bigpic.jpg,female
97bdfa57-6798-4098-a8f4-77e823837313,Carwyn Jones,Carwyn Jones,Carwyn.Jones@assembly.wales,AMCarwyn,,Welsh Labour,welsh_labour,ocd-division/country:gb-wls/region:south_wales_west/constituency:bridgend,Bridgend,National Assembly for Wales,5,,,http://senedd.assembly.wales/UserData/2/0/1/Info00000102/bigpic.jpg,male
1ee666d1-225f-4561-92da-cfcb94b91a6d,Dafydd Elis-Thomas,Dafydd Elis-Thomas,Dafydd.Elis-Thomas@assembly.wales,ElisThomasD,dafydd.elisthomas,Independent,independent,ocd-division/country:gb-wls/region:mid_and_west_wales/constituency:dwyfor_meirionnydd,Dwyfor Meirionnydd,National Assembly for Wales,5,,,http://senedd.assembly.wales/UserData/6/4/1/Info00000146/bigpic.jpg,male
