id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender,wikidata,wikidata_group,wikidata_area
d9b96c6d-b1a4-42f6-80e7-5efcd86e18a8,A. Rahim Ishak,A. Rahim Ishak,,,,People’s Action Party,people’s_action_party,,,Parliament,1,,,http://www.parliament.gov.sg/sites/default/files/rahimishak.gif,,,Q371395,
1a5fd543-0e00-4755-9872-e2c36e6e45ac,A.P. Rajah,A.P. Rajah,,,,Independent Singapore Party Alliance,independent_singapore_party_alliance,,,Parliament,1,,,http://www.parliament.gov.sg/sites/default/files/aprajah.gif,,,,
c015490e-3979-4753-b90c-145c1df80d43,Ang Nam Piau,Ang Nam Piau,,,,People’s Action Party,people’s_action_party,,,Parliament,1,,,http://www.parliament.gov.sg/sites/default/files/angnampiau.gif,,,Q371395,
d1452b4e-74f2-49b2-baa2-c14b7b0eb556,"Bani, S.T.","Bani, S.T.",,,,Barisan Sosialis,barisan_sosialis,,,Parliament,1,,,http://www.parliament.gov.sg/sites/default/files/stbani.gif,,,Q60518,
f2ba20ec-7fa3-4140-8d8e-89cf81e589cb,"Barker, E.W.","Barker, E.W.",,,,People’s Action Party,people’s_action_party,,,Parliament,1,,,http://www.parliament.gov.sg/sites/default/files/barkerew.gif,,,Q371395,
0a82f576-3443-4e6f-9c5c-7d22dc4bc9fd,Bernard Rodrigues,Bernard Rodrigues,,,,People’s Action Party,people’s_action_party,,,Parliament,1,,,http://www.parliament.gov.sg/sites/default/files/rodriguesbernard.gif,,,Q371395,
cc982909-983b-4c89-a991-403073f5ab5c,Buang Bin Omar Junid,Buang Bin Omar Junid,,,,People’s Action Party,people’s_action_party,,,Parliament,1,,,http://www.parliament.gov.sg/sites/default/files/buangbinomarjunid.gif,,,Q371395,
7de43322-d6ad-4699-aa4b-7aa2318bb360,Chan Chee Seng,Chan Chee Seng,,,,People’s Action Party,people’s_action_party,,,Parliament,1,,,http://www.parliament.gov.sg/sites/default/files/chancheeseng.gif,,,Q371395,
c78b23d2-f2c8-4e12-bce3-1d1563dccdad,Chan Choy Siong,Chan Choy Siong,,,,People’s Action Party,people’s_action_party,,,Parliament,1,,,http://www.parliament.gov.sg/sites/default/files/chanchoysiong.gif,,,Q371395,
81c2db92-a032-4a48-8a33-ee68d36e8315,Chan Sun Wing,Chan Sun Wing,,,,"People’s Action Party, Barisan Sosialis","people’s_action_party,_barisan_sosialis",,,Parliament,1,,,http://www.parliament.gov.sg/sites/default/files/chansunwing.gif,,,,
1e1c29b9-525d-4421-bcc4-8d5aa50c4db0,Chew Chin Harn,Chew Chin Harn,,,,People’s Action Party,people’s_action_party,,,Parliament,1,,,http://www.parliament.gov.sg/sites/default/files/chewchinhan.gif,,,Q371395,
c41fde9d-79f1-4db1-9dc4-c642980cd426,Chia Thye Poh,Chia Thye Poh,,,,Barisan Sosialis,barisan_sosialis,,,Parliament,1,,,http://www.parliament.gov.sg/sites/default/files/chiathyepoh_1.gif,male,Q5095139,Q60518,
7ba5ff1b-1b8d-4c15-ae3e-2f2403cfeaa0,Chio Cheng Thun,Chio Cheng Thun,,,,Barisan Sosialis,barisan_sosialis,,,Parliament,1,,,http://www.parliament.gov.sg/sites/default/files/chiochengthun.gif,,,Q60518,
0fd3ec2c-6da4-41eb-86db-ec1870937748,Chor Yeok Eng,Chor Yeok Eng,,,,People’s Action Party,people’s_action_party,,,Parliament,1,,,http://www.parliament.gov.sg/sites/default/files/choryeokeng.gif,male,Q23769866,Q371395,
b0691430-b85a-4c0b-9fae-bcb5b8930483,Chow Chiok Hock,Chow Chiok Hock,,,,People’s Action Party,people’s_action_party,,,Parliament,1,,,http://www.parliament.gov.sg/sites/default/files/chowchiokhock.gif,,,Q371395,
813dd399-c3b0-462b-8656-d6b9d028ee89,"Coomaraswamy, P.","Coomaraswamy, P.",,,,NA,na,,,Parliament,1,,,http://www.parliament.gov.sg/sites/default/files/pcoomaraswamy.gif,,,,
d33a9b13-f999-47be-90f0-39fe82bd1d23,Devan Nair,Devan Nair,,,,People’s Action Party,people’s_action_party,,,Parliament,1,,,http://www.parliament.gov.sg/sites/default/files/cvdevannair_1.gif,male,Q457929,Q371395,
779d04b7-9443-4a46-8bcc-73ab7c1b88f3,Fong Kim Heng,Fong Kim Heng,,,,People’s Action Party,people’s_action_party,,,Parliament,1,,,http://www.parliament.gov.sg/sites/default/files/fongkimheng.gif,,,Q371395,
17d1fb06-3233-4a56-9bda-794edfd2ce88,Fong Sip Chee,Fong Sip Chee,,,,People’s Action Party,people’s_action_party,,,Parliament,1,,,http://www.parliament.gov.sg/sites/default/files/fongsipchee.gif,,,Q371395,
1cad4dd6-99bb-4022-a7ce-d7d26e21b967,Goh Keng Swee,Goh Keng Swee,,,,People’s Action Party,people’s_action_party,,,Parliament,1,,,http://www.parliament.gov.sg/sites/default/files/gohkengswee.gif,male,Q713486,Q371395,
ce74f4c1-9d61-4bc3-b9e5-2625cd2272e1,"Gonzales, R.A.","Gonzales, R.A.",,,,People’s Action Party,people’s_action_party,,,Parliament,1,,,http://www.parliament.gov.sg/sites/default/files/gonzalesra.gif,,,Q371395,
fc0ddc24-630e-4234-b580-14dc4691907b,"Govindaswamy, P.","Govindaswamy, P.",,,,People’s Action Party,people’s_action_party,,,Parliament,1,,,http://www.parliament.gov.sg/sites/default/files/pgovindaswamy.gif,,,Q371395,
a68a472e-b50d-4309-ad0e-20c281deb6ae,Ho Cheng Choon,Ho Cheng Choon,,,,People’s Action Party,people’s_action_party,,,Parliament,1,,,http://www.parliament.gov.sg/sites/default/files/hochengchoon.gif,,,Q371395,
e37f3390-6d93-45f2-b479-dad99a684fb8,Ho Kah Leong,Ho Kah Leong,,,,People’s Action Party,people’s_action_party,,,Parliament,1,,,http://www.parliament.gov.sg/sites/default/files/hokahleong.gif,male,Q58922382,Q371395,
381d1a07-0a67-481d-a331-0254ef0a94eb,Ho See Beng,Ho See Beng,,,,People’s Action Party,people’s_action_party,,,Parliament,1,,,http://www.parliament.gov.sg/sites/default/files/hoseebeng.gif,,,Q371395,
3d6c7df6-d35d-487a-a5aa-f6d69584b541,Jek Yeun Thong,Jek Yeun Thong,,,,People’s Action Party,people’s_action_party,,,Parliament,1,,,http://www.parliament.gov.sg/sites/default/files/jekyeunthong.gif,male,Q23008530,Q371395,
