id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
anna_gunnarsdóttir,Anna Gunnarsdóttir,,,Social Democratic Alliance,social_democratic_alliance,Northwest,Alþingi,2003,,,,
bryndís_hlöðversdóttir,Bryndís Hlöðversdóttir,,,Social Democratic Alliance,social_democratic_alliance,Reykjavik North,Alþingi,2003,,2005,,
dagný_jónsdóttir,Dagný Jónsdóttir,,,Progressive Party,progressive_party,Northeast,Alþingi,2003,,,,
davíð_oddsson,Davíð Oddsson,,,Independence Party,independence_party,Reykjavik North,Alþingi,2003,,2006,,
drífa_hjartardóttir,Drífa Hjartardóttir,,,Independence Party,independence_party,South,Alþingi,2003,,,,
gunnar_birgisson,Gunnar Birgisson,,,Independence Party,independence_party,Southwest,Alþingi,2003,,2006,,
gunnar_Örlygsson,Gunnar Örlygsson,,,Independence Party,independence_party,Southwest,Alþingi,2003,2005,,,
guðjón_hjörleifsson,Guðjón Hjörleifsson,,,Independence Party,independence_party,South,Alþingi,2003,,,,
guðjón_jónsson,Guðjón Jónsson,,,Progressive Party,progressive_party,Reykjavik North,Alþingi,2003,2006,,,
guðmundur_hallvarðsson,Guðmundur Hallvarðsson,,,Independence Party,independence_party,Reykjavik South,Alþingi,2003,,,,
guðmundur_stefánsson,Guðmundur Stefánsson,,,Social Democratic Alliance,social_democratic_alliance,Southwest,Alþingi,2003,,2005,,
guðrún_Ögmundsdóttir,Guðrún Ögmundsdóttir,,,Social Democratic Alliance,social_democratic_alliance,Reykjavik North,Alþingi,2003,,,,
halldór_blöndal,Halldór Blöndal,,,Independence Party,independence_party,Northeast,Alþingi,2003,,,,
halldór_Ásgrímsson,Halldór Ásgrímsson,,,Progressive Party,progressive_party,Reykjavik North,Alþingi,2003,,2006,,
hjálmar_Árnason,Hjálmar Árnason,,,Progressive Party,progressive_party,South,Alþingi,2003,,,,
jóhann_Ársælsson,Jóhann Ársælsson,,,Social Democratic Alliance,social_democratic_alliance,Northwest,Alþingi,2003,,,,
jón_kristjánsson,Jón Kristjánsson,,,Progressive Party,progressive_party,Northeast,Alþingi,2003,,,,
jónína_bjartmarz,Jónína Bjartmarz,,,Progressive Party,progressive_party,Reykjavik South,Alþingi,2003,,,,
magnús_hafsteinsson,Magnús Hafsteinsson,,,Liberal Party,liberal_party,South,Alþingi,2003,,,,
margrét_frímannsdóttir,Margrét Frímannsdóttir,,,Social Democratic Alliance,social_democratic_alliance,South,Alþingi,2003,,,,
rannveig_guðmundsdóttir,Rannveig Guðmundsdóttir,,,Social Democratic Alliance,social_democratic_alliance,Southwest,Alþingi,2003,,,,
sigríður_Þórðardóttir,Sigríður Þórðardóttir,,,Independence Party,independence_party,Southwest,Alþingi,2003,,,,
sigurjón_Þórðarson,Sigurjón Þórðarson,,,Liberal Party,liberal_party,Northwest,Alþingi,2003,,,,
sigurrós_Þorgrímsdóttir,Sigurrós Þorgrímsdóttir,,,Independence Party,independence_party,Southwest,Alþingi,2003,2006,,,
sæunn_stefánsdóttir,Sæunn Stefánsdóttir,,,Progressive Party,progressive_party,Reykjavik North,Alþingi,2003,2006,,,
sólveig_pétursdóttir,Sólveig Pétursdóttir,,,Independence Party,independence_party,Reykjavik South,Alþingi,2003,,,,
tómas_olrich,Tómas Olrich,,,Independence Party,independence_party,Northeast,Alþingi,2003,,2004,,
valdimar_friðriksson,Valdimar Friðriksson,,,Social Democratic Alliance,social_democratic_alliance,Southwest,Alþingi,2003,2005,,,
Árni_magnússon,Árni Magnússon,,,Progressive Party,progressive_party,Reykjavik North,Alþingi,2003,,2006,,
