id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender,wikidata,wikidata_group,wikidata_area
d06fbaaa-891f-4d03-8793-18767cc5c8c9,Ada Damjanac,Ada Damjanac,,,,SDP,sdp,8th,8th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19547,female,,Q830323,
82e57150-9b43-410a-9bee-bab4335ecdde,Ante Babić,Ante Babić,,,,HDZ,hdz,10th,10th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19523,male,,Q738439,
f0864b95-8b43-46e2-b595-ab5b5cefa923,Boris Blažeković,Boris Blažeković,,,,HNS,hns,6th,6th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19536,male,,Q1255803,
541426b4-6d12-43ec-81f2-de22608edb8f,Boro Grubišić,Boro Grubišić,,,,HDSSB,hdssb,5th,5th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19563,male,,Q1262429,
f90d3094-051a-44d6-a0e3-d1f809c5522e,Branka Juričev-Martinčev,Branka Juričev-Martinčev,,,,HDZ,hdz,9th,9th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19575,female,Q43677246,Q738439,
782fb17f-b4c5-48d0-a2e7-71fedc80892b,Branko Bačić,Branko Bačić,,,,HDZ,hdz,10th,10th,Sabor,7,2011-12-23,,http://www.sabor.hr/lgs.axd?t=16&id=19525,male,Q43676707,Q738439,
91f5a54c-8ac6-4772-a561-4634e2b27ac2,Branko Hrg,Branko Hrg,,,,HSS,hss,2nd,2nd,Sabor,7,2012-10-12,,http://www.sabor.hr/lgs.axd?t=16&id=22156,male,Q4957466,Q638194,
5351031d-1470-4256-ad6a-2665a15145a6,Damir Kajin,Damir Kajin,,,,Independent,independent,8th,8th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19577,male,Q1254068,Q327591,
c28358e0-893f-4ad4-b8a3-448ed33b8993,Davor Bernardić,Davor Bernardić,,davor_bernardic,,SDP,sdp,1st,1st,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19533,male,Q5242086,Q830323,
bd0075d7-a8cd-4ccc-adba-2d939dab6e57,Davor Božinović,Davor Božinović,,,,HDZ,hdz,8th,8th,Sabor,7,2011-12-23,,http://www.sabor.hr/lgs.axd?t=16&id=19541,male,Q2619574,Q738439,
394f60cc-2732-477d-9d47-3cec0297a54e,Dinko Burić,Dinko Burić,,,,HDSSB,hdssb,4th,4th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19543,male,,Q1262429,
cf710cc3-92ac-4af1-82e4-dcc712b11182,Domagoj Hajduković,Domagoj Hajduković,,dhajdukovic,,SDP,sdp,4th,4th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19566,male,Q43677225,Q830323,
0cd77ad8-e0ed-4fa9-9232-42af85503460,Dragan Crnogorac,Dragan Crnogorac,,,,SDSS,sdss,12th,12th,Sabor,7,2012-10-10,,http://www.sabor.hr/lgs.axd?t=16&id=23908,male,,Q1261401,
93989bb3-0153-4301-bf7b-65a7bf2d1d34,Dragutin Glavina,Dragutin Glavina,,,,HNS,hns,3rd,3rd,Sabor,7,2011-12-23,,http://www.sabor.hr/lgs.axd?t=16&id=19561,male,,Q1255803,
b843788e-63c3-4ea8-b5b3-726ec41269b6,Dražen Đurović,Dražen Đurović,,,,HDSSB,hdssb,5th,5th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19552,male,,Q1262429,
3803fdd0-853d-4966-9596-469a9b2df9c0,Dubravko Bilić,Dubravko Bilić,,,,SDP,sdp,3rd,3rd,Sabor,7,2013-06-21,,http://www.sabor.hr/lgs.axd?t=16&id=41479,male,,Q830323,
5d57d36c-35f0-4c70-b271-24a4e84af7f0,Goran Beus Richembergh,Goran Beus Richembergh,,,,HNS,hns,6th,6th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19534,male,Q43677144,Q1255803,
d8c75e06-cc84-47a1-be77-efb37f376e4c,Gordan Jandroković,Gordan Jandroković,,,,HDZ,hdz,1st,1st,Sabor,7,2011-12-23,,http://www.sabor.hr/lgs.axd?t=16&id=19571,male,Q1337804,Q738439,
55414904-bd59-4e37-b4af-61d207d38794,Gvozden Srećko Flego,Gvozden Srećko Flego,,,,SDP,sdp,1st,1st,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19557,male,,Q830323,
078e2f4b-256c-4eb7-a6d8-9bb7017becc6,Igor Dragovan,Igor Dragovan,,,,SDP,sdp,5th,5th,Sabor,7,,,http://www.sabor.hr/lgs.axd?t=16&id=19553,male,Q43677190,Q830323,
