id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,term,start_date,image,gender,wikidata,wikidata_group,wikidata_area
fd8abb07-04bf-4bc3-89ba-33609fa12cdd,Adrian V. Anamayah,Adrian V. Anamayah,,,,People Progressive Party/Civic,PPP-Civic,,,11,,http://parliament.gov.gy/images/member_photos/4026/adrian.jpg,male,,Q1972521,
7df71e89-208b-4f00-8afd-a7e4077f873b,Africo Selman,Africo Selman,,,,People Progressive Party/Civic,PPP-Civic,,,11,,http://parliament.gov.gy/images/member_photos/102/africo_selman.jpg,female,,Q1972521,
6d2f785f-0205-471a-830f-2d8977b40047,Alister S. Charlie,Alister S. Charlie,,,,People Progressive Party/Civic,PPP-Civic,9,Upper Takutu/Upper Essequibo,11,,http://parliament.gov.gy/images/member_photos/4025/mr._alister_s._charlie_m.p..jpg,male,,Q1972521,
7c55dda1-d45a-4ee4-b6ed-f45db7668758,Amna Ally,Amna Ally,,,,A Party For National Unity + Alliance For Change,APNU-AFC,,,11,,http://parliament.gov.gy/images/member_photos/124/amna_ally.jpg,female,,Q16824207,
417ca7aa-5e4d-4ee3-b410-5a69bb3abcf8,Annette Ferguson,Annette Ferguson,,,,A Party For National Unity + Alliance For Change,APNU-AFC,,,11,,http://parliament.gov.gy/images/member_photos/125/annette.jpg,female,,Q16824207,
6e8d9733-022a-4836-8652-3c840778540e,Audwin Rutherford,Audwin Rutherford,,,,A Party For National Unity + Alliance For Change,APNU-AFC,,,11,,http://parliament.gov.gy/images/member_photos/3896/audwyn.jpg,male,,Q16824207,
7195abfc-75bd-426c-9e2c-67d6b758c8bd,"Barton U.A. Scotland, C.C.H","Barton U.A. Scotland, C.C.H",,,,Unknown,unkown,,,11,,http://parliament.gov.gy/images/member_photos/3880/sam_0969-2.jpg,male,,,
45716acd-ceb2-47aa-84e2-092f728203dd,Basil Williams,Basil Williams,,,,A Party For National Unity + Alliance For Change,APNU-AFC,4,Demerara/Mahaica,11,,http://parliament.gov.gy/images/member_photos/98/basil_williams.jpg,male,,Q16824207,
9aa3d151-1000-4929-a342-679dd6363f03,Bharrat Jagdeo,Bharrat Jagdeo,,,,People Progressive Party/Civic,PPP-Civic,,,11,,"http://parliament.gov.gy/images/member_photos/4031/mr._bharrat_jagdeo,_m.p..jpg",male,,Q1972521,
22e0caf7-bb4e-40ea-ad8e-6c5315a9d34a,Bheri S. Ramsarran,Bheri S. Ramsarran,,,,People Progressive Party/Civic,PPP-Civic,,,11,,http://parliament.gov.gy/images/member_photos/126/bheri.jpg,male,,Q1972521,
fd6f9612-e2b2-4a44-b8aa-5299436db772,Carl B. Greenidge,Carl B. Greenidge,,,,A Party For National Unity + Alliance For Change,APNU-AFC,,,11,,http://parliament.gov.gy/images/member_photos/122/carl_greenidge.png,male,,Q16824207,
596d01b1-275e-40d3-96c0-e66beb92c854,Catherine Hughes,Catherine Hughes,,,,A Party For National Unity + Alliance For Change,APNU-AFC,,,11,,http://parliament.gov.gy/images/member_photos/215/cathy.jpg,female,,Q16824207,
dc7716ce-be97-4465-b1c2-790d7e135720,Charrandas Persaud,Charrandas Persaud,,,,Unknown,unkown,6,East Berbice/Corentyne,11,,http://parliament.gov.gy/images/member_photos/3894/chandradas.jpg,male,,,
4db68f31-1619-4cfa-8103-9c8c0feeeb50,Clement J. Rohee,Clement J. Rohee,,,,People Progressive Party/Civic,PPP-Civic,,,11,,http://parliament.gov.gy/images/member_photos/232/rohee11.jpg,male,,Q1972521,
516316a2-d035-4e76-bd27-75480056b91c,Collin D. Croal,Collin D. Croal,,,,People Progressive Party/Civic,PPP-Civic,1,Barima/Waini,11,,"http://parliament.gov.gy/images/member_photos/4022/mr._collin_d._croal,_m.p..jpg",male,,Q1972521,
1dc9bce6-02dc-4813-a102-eadf1b7765b3,Cornel Damon,Cornel Damon,,,,People Progressive Party/Civic,PPP-Civic,2,Pomeroon/Supernaam,11,,http://parliament.gov.gy/images/member_photos/96/cornel_damon.jpg,male,,Q1972521,
fefaffd3-6665-486b-a608-fea8df088201,David Patterson,David Patterson,,,,A Party For National Unity + Alliance For Change,APNU-AFC,,,11,,http://parliament.gov.gy/images/member_photos/3879/david_patterson.jpg,male,,Q16824207,
4c50155f-0ffb-4c3b-8fd1-81ec4fad9fa8,Dawn Hastings-Williams,Dawn Hastings-Williams,,,,A Party For National Unity + Alliance For Change,APNU-AFC,7,Cuyuni/Mazaruni,11,,http://parliament.gov.gy/images/member_photos/100/dawn.jpg,female,,Q16824207,
47c91a7b-7fc0-4060-8195-f5101766e096,Dharamkumar Seeraj,Dharamkumar Seeraj,,,,People Progressive Party/Civic,PPP-Civic,,,11,,"http://parliament.gov.gy/images/member_photos/130/dharamkumar_seeraj,_m.p.__small.jpg",,,Q1972521,
a81c2030-dc7d-4639-acc7-00939fb166a4,Dominic Gaskin,Dominic Gaskin,,,,A Party For National Unity + Alliance For Change,APNU-AFC,,,11,,http://parliament.gov.gy/images/member_photos/3878/dominic-2.jpg,male,,Q16824207,
12e87f9b-6d5f-4a8f-90a7-6fddf8844039,Frank C.S. Anthony,Frank C.S. Anthony,,,,People Progressive Party/Civic,PPP-Civic,,,11,,http://parliament.gov.gy/images/member_photos/137/frank-2.jpg,,,Q1972521,
8b1c050b-209a-4955-b7d0-b4d6a095fe29,Gail Teixeira,Gail Teixeira,,,,People Progressive Party/Civic,PPP-Civic,,,11,,"http://parliament.gov.gy/images/member_photos/138/ms._gail_teixeira,_m.p..jpg",female,,Q1972521,
dd736f4c-8fb8-43b7-a63e-47918c27df43,Ganga Persaud,Ganga Persaud,,,,People Progressive Party/Civic,PPP-Civic,,,11,,http://parliament.gov.gy/images/member_photos/139/ganga_persaud.jpg,,,Q1972521,
7ff58b64-47c4-461a-94d6-ce7e16ad3188,George Norton,George Norton,,,,A Party For National Unity + Alliance For Change,APNU-AFC,,,11,,http://parliament.gov.gy/images/member_photos/211/norton.jpg,male,,Q16824207,
6db2c684-e256-4b7b-83fd-49a9c7cdaf10,Gillian R. Persaud,Gillian R. Persaud,,,,People Progressive Party/Civic,PPP-Civic,4,Demerara/Mahaica,11,,"http://parliament.gov.gy/images/member_photos/4023/ms._gillian_r._persaud,_m.p..jpg",female,,Q1972521,
fb6be5bb-c05a-423f-ab9a-fac707b277e3,Harry Gill,Harry Gill,,,,People Progressive Party/Civic,PPP-Civic,,,11,,"http://parliament.gov.gy/images/member_photos/4029/mr._harry_gill,_m.p..jpg",male,,Q1972521,
10fdc05b-0a25-4f5e-a8c4-7ea53065d7de,Indranie Chandarpal,Indranie Chandarpal,,,,People Progressive Party/Civic,PPP-Civic,,,11,,"http://parliament.gov.gy/images/member_photos/92/ms._indra_chanderpal,_m.p..jpg",female,,Q1972521,
82c00bc0-60aa-46df-b5f9-0c2694b3726b,Jaipaul Sharma,Jaipaul Sharma,,,,A Party For National Unity + Alliance For Change,APNU-AFC,4,Demerara/Mahaica,11,,http://parliament.gov.gy/images/member_photos/103/jaipaul.jpg,male,,Q16824207,
