id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
abdou_djariri,ABDOU DJARIRI,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
abdoul_moumouni_gousmane,ABDOUL MOUMOUNI GOUSMANE,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
abdoulkadri_tidjani,ABDOULKADRI TIDJANI,,,ARN,182,,Assemblée nationale,7.1,,,,male
abdourahamane_chegou ,ABDOURAHAMANE CHEGOU ,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,,male
aboubacar_elhadj,ABOUBACAR ELHADJ,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,,male
adiza_dadi,ADIZA DADI,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,female
ahalawaye_abougou,AHALAWAYE ABOUGOU,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
ahamat_ben_hameda,AHAMAT BEN HAMEDA,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,,male
ahmed_babati,AHMED BABATI,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,,male
ahmoudou_mohamed,AHMOUDOU MOHAMED,,,ARN,182,,Assemblée nationale,7.1,,,,male
algabi_elhadji_atta,ALGABI ELHADJI ATTA,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
ali_magagi_issaka,ALI MAGAGI ISSAKA,,,ARN,182,,Assemblée nationale,7.1,,,,male
amadou_boubakar_alkaly,AMADOU BOUBAKAR ALKALY,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,,male
amadou_djibo_ali,AMADOU DJIBO ALI,,,ARN,182,,Assemblée nationale,7.1,,,,male
amadou_salifou,AMADOU SALIFOU,,,ARN,182,,Assemblée nationale,7.1,,,,male
amina_abdou_souna_(mme,AMINA ABDOU SOUNA (MME,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,,male
amina_tiemoko_ousmane,AMINA TIEMOKO OUSMANE,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,female
aminatou_habibou,AMINATOU HABIBOU,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,female
aoua_ibro,AOUA IBRO,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,female
argi_dan_dadi,ARGI DAN DADI,,,ARN,182,,Assemblée nationale,7.1,,,,male
assamaou_garba,ASSAMAOU GARBA,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,female
assibite_acotey,ASSIBITE ACOTEY,,,ARN,182,,Assemblée nationale,7.1,,,,female
assoumana_mallam_issa,ASSOUMANA MALLAM ISSA,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
bachir_abdoul_aziz,BACHIR ABDOUL AZIZ,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
bala_saratou_boukari,BALA SARATOU BOUKARI,,,ARN,182,,Assemblée nationale,7.1,,,,female
barka_gaichatou_mahamane,BARKA GAICHATOU MAHAMANE,,,ARN,182,,Assemblée nationale,7.1,,,,female
barmini_akourki,BARMINI AKOURKI,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,,male
bassirou_ibo,BASSIROU IBO,,,ARN,182,,Assemblée nationale,7.1,,,,male
boubacar_mossi,BOUBACAR MOSSI,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,,male
boucary_sani,BOUCARY SANI,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
boukari_abdou,BOUKARI ABDOU,,,DEMOCRATES,179,,Assemblée nationale,7.1,,,,male
daouda_jigo,DAOUDA JIGO,,,ARN,182,,Assemblée nationale,7.1,,,,male
daouda_mamadou_marthe,DAOUDA MAMADOU MARTHE,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
daoudou_nouhou,DAOUDOU NOUHOU,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,,male
djafarou_moumouni_kalilou,DJAFAROU MOUMOUNI KALILOU,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,,male
djibo_attinine,DJIBO ATTININE,,,ANDP Zaman-Lahiya,178,,Assemblée nationale,7.1,,,,male
elhadji_gagere ,ELHADJI GAGERE ,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,,male
falke_bacharou,FALKE BACHAROU,,,ARN,182,,Assemblée nationale,7.1,,,,male
gado_moumouni,GADO MOUMOUNI,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,,male
garba_amadou,GARBA AMADOU,,,ANDP Zaman-Lahiya,178,,Assemblée nationale,7.1,,,,male
habibou_andache_,HABIBOU ANDACHE ,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
hadizatou_moussa_gros,HADIZATOU MOUSSA GROS,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,,female
halidou_badje,HALIDOU BADJE,,,ARN,182,,Assemblée nationale,7.1,,,,male
hama_amadou,HAMA AMADOU,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,,male
hamballi_nana_hawaou_abdou,HAMBALLI NANA HAWAOU ABDOU,,,DEMOCRATES,179,,Assemblée nationale,7.1,,,,female
hamed_haidara_ag_elgafiat,HAMED HAIDARA AG ELGAFIAT,,,ARN,182,,Assemblée nationale,7.1,,,,male
harou_kalla,HAROU KALLA,,,DEMOCRATES,179,,Assemblée nationale,7.1,,,,male
harouna_hamani,HAROUNA HAMANI,,,DEMOCRATES,179,,Assemblée nationale,7.1,,,,male
harouna_kane,HAROUNA KANE,,,ARN,182,,Assemblée nationale,7.1,,,,male
ibrahim_djibo,IBRAHIM DJIBO,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
ibrahim_foukori,IBRAHIM FOUKORI,,,ARN,182,,Assemblée nationale,7.1,,,,male
ibrahima_souleymane,IBRAHIMA SOULEYMANE,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
idrissa_maidagi,IDRISSA MAIDAGI,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
illa_kane,ILLA KANE,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
illa_ousmane,ILLA OUSMANE,,,ANDP Zaman-Lahiya,178,,Assemblée nationale,7.1,,,,male
