id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
103,Ahde Matti,,,Social Democrats,sd,Oulun,Eduskunta,28,,,http://dev.kansanmuisti.fi/media/images/members/ahde-matti.jpg,
112,Elo Mikko,,,Social Democrats,sd,Satakunnan,Eduskunta,28,,,http://dev.kansanmuisti.fi/media/images/members/elo-mikko.jpg,
122,Halonen Tarja,,,Social Democrats,sd,Helsingin,Eduskunta,28,,,http://dev.kansanmuisti.fi/media/images/members/halonen-tarja.jpg,
430,Ihamäki Timo,,,National Coalition Party,kok,Mikkelin,Eduskunta,28,,,http://dev.kansanmuisti.fi/media/images/members/ihamaki-timo.jpg,
147,Jaakonsaari Liisa,,,Social Democrats,sd,Oulun,Eduskunta,28,,,http://dev.kansanmuisti.fi/media/images/members/jaakonsaari-liisa.jpg,
910615,Joutsenlahti Anssi,anssi.joutsenlahti@eduskunta.fi,,The Finns Party,ps,Satakunnan,Eduskunta,28,,,http://dev.kansanmuisti.fi/media/images/members/joutsenlahti-anssi.jpg,
157,Juhantalo Kauko,,,Finnish Centre Party,kesk,Satakunnan,Eduskunta,28,,,http://dev.kansanmuisti.fi/media/images/members/juhantalo-kauko.jpg,
170,Kanerva Ilkka,ilkka.kanerva@eduskunta.fi,,National Coalition Party,kok,Varsinais-Suomen,Eduskunta,28,,,http://dev.kansanmuisti.fi/media/images/members/kanerva-ilkka.jpg,
444,Kuoppa Mikko,,,Left Alliance,vas,Pirkanmaan,Eduskunta,28,,,http://dev.kansanmuisti.fi/media/images/members/kuoppa-mikko.jpg,
212,Pekkarinen Mauri,mauri.pekkarinen@eduskunta.fi,,Finnish Centre Party,kesk,Keski-Suomen,Eduskunta,28,,,http://dev.kansanmuisti.fi/media/images/members/pekkarinen-mauri.jpg,
259,Salolainen Pertti,pertti.salolainen@eduskunta.fi,,National Coalition Party,kok,Helsingin,Eduskunta,28,,,http://dev.kansanmuisti.fi/media/images/members/salolainen-pertti.jpg,
267,Skinnari Jouko,jouko.skinnari@eduskunta.fi,,Social Democrats,sd,Hämeen,Eduskunta,28,1980-09-26,,http://dev.kansanmuisti.fi/media/images/members/skinnari-jouko.jpg,
272,Stenius-Kaukonen Marjatta,,,Left Alliance,vas,Pirkanmaan,Eduskunta,28,,,http://dev.kansanmuisti.fi/media/images/members/stenius-kaukonen-marjatta.jpg,
311,Söderman Jacob,,,Social Democrats,sd,Helsingin,Eduskunta,28,,1982-06-30,http://dev.kansanmuisti.fi/media/images/members/soderman-jacob.jpg,
278,Tennilä Esko-Juhani,,,Left Alliance,vas,Lapin,Eduskunta,28,,,http://dev.kansanmuisti.fi/media/images/members/tennila-esko-juhani.jpg,
297,Urpilainen Kari,,,Social Democrats,sd,Vaasan,Eduskunta,28,1983-02-11,,http://dev.kansanmuisti.fi/media/images/members/urpilainen-kari.jpg,
300,Väyrynen Paavo,,,Finnish Centre Party,kesk,Lapin,Eduskunta,28,,,http://dev.kansanmuisti.fi/media/images/members/vayrynen-paavo.jpg,
301,Zyskowicz Ben,ben.zyskowicz@eduskunta.fi,,National Coalition Party,kok,Helsingin,Eduskunta,28,,,http://dev.kansanmuisti.fi/media/images/members/zyskowicz-ben.jpg,
