id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender,wikidata,wikidata_group,wikidata_area
79c4b604-9279-4822-95ff-b3cc8c1c2755,Agorastis Vasileios,Agorastis Vasileios,,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,larissa,Larissa,Hellenic Parliament,4,,,,,,Q203934,
87feff58-a143-474b-826d-78d9ace4799d,Akrita Sylva - Kaiti,Akrita Sylva - Kaiti,,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,athens_b,Athens B,Hellenic Parliament,4,,,,,,Q203934,
80bb9282-8a99-4be2-89e3-13b2bd977003,Akritidis Nikolaos,Akritidis Nikolaos,,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,thessaloniki_a,Thessaloniki A,Hellenic Parliament,4,,,,male,Q15633754,Q203934,
da686d19-5e11-4408-8944-e1db173c2905,Alevras Ioannis,Alevras Ioannis,,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,athens_a,Athens A,Hellenic Parliament,4,,,https://upload.wikimedia.org/wikipedia/commons/6/69/Ioannis_Alevras.jpg,male,Q2091478,Q203934,
65a53d85-5a79-49bc-95df-6631e27cece1,Alexandris Efstathios (Stathis),Alexandris Efstathios (Stathis),,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,fokida,Fokida,Hellenic Parliament,4,,,,male,Q29012654,Q203934,
02418682-82a6-4c03-a9ed-2a8e1f5a1c6d,Alexiadis Konstantinos,Alexiadis Konstantinos,,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,trikala,Trikala,Hellenic Parliament,4,,1986-01-26,,,,Q203934,
02418682-82a6-4c03-a9ed-2a8e1f5a1c6d,Alexiadis Konstantinos,Alexiadis Konstantinos,,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,trikala,Trikala,Hellenic Parliament,4,1986-01-27,,,,,Q203934,
4710cb95-a648-4ebc-938c-aa81bf4d7e64,Alexiou Thomas,Alexiou Thomas,,,,N.D. (Nea Demokratia),nd,xanthi,Xanthi,Hellenic Parliament,4,,,,male,Q20055324,Q223153,
67eb1638-3920-4721-acdb-572e9b4f7c9d,Amanatidis Konstantinos,Amanatidis Konstantinos,,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,thessaloniki_b,Thessaloniki B,Hellenic Parliament,4,,,,,,Q203934,
79941fea-69ea-4f87-8b93-20752ac8fa51,Anagnostopoulos Nikolaos,Anagnostopoulos Nikolaos,,,,N.D. (Nea Demokratia),nd,athens_a,Athens A,Hellenic Parliament,4,,,,,,Q223153,
140d662d-ebbd-466f-bbf7-e17895711e55,Anagnostopoulos Theodoros,Anagnostopoulos Theodoros,,,,N.D. (Nea Demokratia),nd,karditsa,Karditsa,Hellenic Parliament,4,,,,,,Q223153,
a4f61512-5c1e-4efb-bae4-8bd1927dc545,Anastasakis Nikos,Anastasakis Nikos,,,,N.D. (Nea Demokratia),nd,athens_a,Athens A,Hellenic Parliament,4,1989-03-01,,,,,Q223153,
0491bccd-8a6f-4b14-b196-5ae1b671ed4f,Anastasakos Serafeim,Anastasakos Serafeim,,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,karditsa,Karditsa,Hellenic Parliament,4,,,,,,Q203934,
c1db3c2d-bbf1-42a7-9fa4-1a6c11902cc0,Anastasopoulos Nikolaos,Anastasopoulos Nikolaos,,,,N.D. (Nea Demokratia),nd,messinia,Messinia,Hellenic Parliament,4,,,,,,Q223153,
ee86787f-5393-4910-8028-681939853323,Andrianopoulos Andreas,Andrianopoulos Andreas,,,,N.D. (Nea Demokratia),nd,piraeus_a,Piraeus A,Hellenic Parliament,4,,1986-12-19,https://upload.wikimedia.org/wikipedia/commons/d/d7/Andrianopoulos.jpg,male,Q12873618,Q223153,
ee86787f-5393-4910-8028-681939853323,Andrianopoulos Andreas,Andrianopoulos Andreas,,,,N.D. (Nea Demokratia),nd,piraeus_a,Piraeus A,Hellenic Parliament,4,1986-12-20,,https://upload.wikimedia.org/wikipedia/commons/d/d7/Andrianopoulos.jpg,male,Q12873618,Q223153,
832fc2ca-787f-484b-b815-f82959607311,Angelousis Angelos,Angelousis Angelos,,,,N.D. (Nea Demokratia),nd,serres,Serres,Hellenic Parliament,4,,,,,,Q223153,
834151d8-480b-4950-90b4-853b2d4e4228,Anthopoulos Efstathios,Anthopoulos Efstathios,,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,serres,Serres,Hellenic Parliament,4,,1985-12-01,,male,Q14834480,Q203934,
834151d8-480b-4950-90b4-853b2d4e4228,Anthopoulos Efstathios,Anthopoulos Efstathios,,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,serres,Serres,Hellenic Parliament,4,1985-12-02,,,male,Q14834480,Q203934,
1a709f42-9ad8-48e3-aa32-b91b681303fc,Antonakoudis Georgios,Antonakoudis Georgios,,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,evros,Evros,Hellenic Parliament,4,,,,,,Q203934,
