id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,term,start_date,image,gender,wikidata,wikidata_group,wikidata_area
34ebad93-606b-4d10-ba82-4b6348fb7314,Alen Prelec,Alen Prelec,,,,SDP,sdp,area/1st,1st,9,2017-03-10,http://www.sabor.hr/lgs.axd?t=16&id=25482,male,,Q830323,
e09352ec-d388-43bd-a136-37f63e8b7072,Ana Komparić Devčić,Ana Komparić Devčić,,,,unknown,unknown,area/8th,8th,9,,http://www.sabor.hr/lgs.axd?t=16&id=19586,female,,,
ff999b7d-369a-471c-b742-dd5fbe92b5e5,Ana-Marija Petin,Ana-Marija Petin,,,,HSS,hss,area/4th,4th,9,,http://www.sabor.hr/lgs.axd?t=16&id=47093&sp=170x219,,,Q638194,
69762abb-2d66-4d7d-9507-ed0153e2f69f,Andrija Mikulić,Andrija Mikulić,,,,HDZ,hdz,area/2nd,2nd,9,,http://www.sabor.hr/lgs.axd?t=16&id=44468,male,,Q738439,
b98fd603-cf71-4b9b-8a98-42f4bff11c0c,Andro Krstulović Opara,Andro Krstulović Opara,,,,HDZ,hdz,area/10th,10th,9,,http://www.sabor.hr/lgs.axd?t=16&id=47057&sp=170x219,,,Q738439,
e5b9eaef-069b-48b5-8e91-8c4b92acdb3d,Anka Mrak-Taritaš,Anka Mrak-Taritaš,,,,HNS,hns,area/2nd,2nd,9,,http://www.sabor.hr/lgs.axd?t=16&id=44647,female,Q16111501,Q1255803,
e8e0430a-45a7-4fad-94d0-8bb6640d3505,Ante Sanader,Ante Sanader,,,,HDZ,hdz,area/9th,9th,9,,http://www.sabor.hr/lgs.axd?t=16&id=24691,male,,Q738439,
190eb5a1-12c8-494b-87da-a449df734a63,Anton Kliman,Anton Kliman,,,,HDZ,hdz,area/8th,8th,9,,http://www.sabor.hr/lgs.axd?t=16&id=47149&sp=170x219,,,Q738439,
792fce28-6ffe-40e8-bb96-93befad2ecf5,Anđelko Stričak,Anđelko Stričak,,,,HDZ,hdz,area/3rd,3rd,9,,http://www.sabor.hr/lgs.axd?t=16&id=44493,male,,Q738439,
3a598031-442b-4912-b5d4-867bc24d6916,Arsen Bauk,Arsen Bauk,,,,SDP,sdp,area/10th,10th,9,,https://upload.wikimedia.org/wikipedia/commons/8/80/Arsen_Bauk.jpg,male,Q2351745,Q830323,
90501406-222f-47f2-b0be-60798f15285c,Bernarda Topolko,Bernarda Topolko,,,,HNS,hns,area/3rd,3rd,9,,http://www.sabor.hr/lgs.axd?t=16&id=47122&sp=170x219,,,Q1255803,
ceb84ba0-ebca-4155-b855-40c996c48c30,Blaženko Boban,Blaženko Boban,,,,HDZ,hdz,area/10th,10th,9,2016-10-19,http://www.sabor.hr/lgs.axd?t=16&id=44546,male,,Q738439,
21b549c1-3482-40cd-9b87-f273e9c2859f,Bojan Glavašević,Bojan Glavašević,,,,SDP,sdp,area/6th,6th,9,,http://www.sabor.hr/lgs.axd?t=16&id=47025&sp=170x219,,,Q830323,
b2ded576-98fb-4d91-a305-0ebcf09ca652,Boris Lalovac,Boris Lalovac,,,,SDP,sdp,area/10th,10th,9,,http://www.sabor.hr/lgs.axd?t=16&id=44558,male,Q25497953,Q830323,
47cc223b-fcc3-4a56-a525-53ced82fb1b8,Boris Miletić,Boris Miletić,,,,IDS,ids,area/8th,8th,9,,http://www.sabor.hr/lgs.axd?t=16&id=45888,male,Q12628147,Q1261390,
cb86ff53-9453-4e3a-b6bd-8e408f345650,Boris Milošević,Boris Milošević,,,,SDSS,sdss,area/12th,12th,9,,http://www.sabor.hr/lgs.axd?t=16&id=47080&sp=170x219,,,Q1261401,
46b29cc1-2efc-46ff-b446-0dc5ac58aa86,Božica Makar,Božica Makar,,,,HNS,hns,area/3rd,3rd,9,,http://www.sabor.hr/lgs.axd?t=16&id=44462,female,,Q1255803,
65e4e5fb-59f0-4c3d-a1ab-ed4d02939ae7,Božo Ljubić,Božo Ljubić,,,,HDZ,hdz,area/11th,11th,9,,http://www.sabor.hr/lgs.axd?t=16&id=44459,male,Q4953093,Q738439,
2cbde03a-2e35-4fa1-a866-023e41b2d14c,Božo Petrov,Božo Petrov,,,,MOST,most,area/10th,10th,9,,http://www.sabor.hr/lgs.axd?t=16&id=47095,male,Q16114858,Q16116415,
e9d5bf59-d0ba-4b96-8ac1-dd221058a7b4,Branimir Bunjac,Branimir Bunjac,,,,Human Blockade,human_blockade,area/3rd,3rd,9,,http://www.sabor.hr/lgs.axd?t=16&id=47008&sp=170x219,,,,
64bd72e1-6e67-45bb-8f2e-e1c727e53e8b,Branimir Glavaš,Branimir Glavaš,,,,HDSSB,hdssb,area/4th,4th,9,,http://www.sabor.hr/lgs.axd?t=16&id=47148&sp=170x219,,,Q1262429,
f90d3094-051a-44d6-a0e3-d1f809c5522e,Branka Juričev-Martinčev,Branka Juričev-Martinčev,,,,HDZ,hdz,area/9th,9th,9,,http://www.sabor.hr/lgs.axd?t=16&id=19575,female,,Q738439,
782fb17f-b4c5-48d0-a2e7-71fedc80892b,Branko Bačić,Branko Bačić,,,,HDZ,hdz,area/10th,10th,9,,http://www.sabor.hr/lgs.axd?t=16&id=19525,male,,Q738439,
903924bc-73f9-40b2-97be-501a3d6c1973,Branko Grčić,Branko Grčić,,,,SDP,sdp,area/10th,10th,9,,http://www.sabor.hr/lgs.axd?t=16&id=44638,male,Q165463,Q830323,
91f5a54c-8ac6-4772-a561-4634e2b27ac2,Branko Hrg,Branko Hrg,,,,HDS,hds,area/2nd,2nd,9,,http://www.sabor.hr/lgs.axd?t=16&id=22156,male,Q4957466,Q1055317,
bf113281-c34e-4960-91d3-e939447647f9,Bruna Esih,Bruna Esih,,,,Independent,independent,area/1st,1st,9,,http://www.sabor.hr/lgs.axd?t=16&id=47020&sp=170x219,,,Q327591,
097fbc58-8a1a-4c5e-80cf-5e2c86867197,Damir Felak,Damir Felak,,,,HDZ,hdz,area/2nd,2nd,9,,http://www.sabor.hr/lgs.axd?t=16&id=44432,male,,Q738439,
79db4778-8890-43a5-a794-8a912b1fbb23,Damir Mateljan,Damir Mateljan,,,,SDP,sdp,area/7th,7th,9,,http://www.sabor.hr/lgs.axd?t=16&id=19667,male,,Q830323,
0da051b8-7f4e-48c8-89a0-a9c3a0ef334b,Damir Tomić,Damir Tomić,,,,SDP,sdp,area/4th,4th,9,,http://www.sabor.hr/lgs.axd?t=16&id=19819,male,,Q830323,
58a86cc2-925d-4b84-ad54-2448ed11fe48,Darinko Dumbović,Darinko Dumbović,,,,Reformists,reformists,area/6th,6th,9,,http://www.sabor.hr/lgs.axd?t=16&id=47019&sp=170x217,,,Q18166661,
34c5da85-bb54-4b83-babd-7164ba62cba7,Darinko Kosor,Darinko Kosor,,,,HSLS,hsls,area/1st,1st,9,,http://www.sabor.hr/lgs.axd?t=16&id=44556,male,Q5222809,Q1249448,
2d69d106-cecd-43a1-b2ca-e66864e6e3ac,Darko Horvat,Darko Horvat,,,,HDZ,hdz,area/3rd,3rd,9,,,,,Q738439,
a607d2ac-7473-4c86-b738-b607e7e1fc9e,Darko Milinović,Darko Milinović,,Darko_Milinovic,,HDZ,hdz,area/9th,9th,9,,http://www.sabor.hr/lgs.axd?t=16&id=19611,male,Q5223754,Q738439,
eb7a96ec-0c0a-4545-9b7c-a7025ab4dd2c,Darko Parić,Darko Parić,,,,SDP,sdp,area/10th,10th,9,,http://www.sabor.hr/lgs.axd?t=16&id=44472,male,,Q830323,
c28358e0-893f-4ad4-b8a3-448ed33b8993,Davor Bernardić,Davor Bernardić,,davor_bernardic,,SDP,sdp,area/1st,1st,9,,http://www.sabor.hr/lgs.axd?t=16&id=19533,male,Q5242086,Q830323,
