id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender,wikidata,wikidata_group,wikidata_area
fa80f602-c579-4473-b270-4e409810ae7e,Abreu Lima,Abreu Lima,,,,CDS,cds,viana_do_castelo,Viana do Castelo,Assembleia da República,2,1980-11-13,1982-07-06,http://app.parlamento.pt/webutils/getimage.aspx?id=3237&type=deputado,,,Q1054298,Q326214
6ade6044-0a14-475a-909f-344195850e41,Abílio Curto,Abílio Curto,,,,PS,ps,guarda,Guarda,Assembleia da República,2,1980-11-13,,http://app.parlamento.pt/webutils/getimage.aspx?id=141&type=deputado,,,Q847263,Q273533
4ef6d194-e2f4-4da7-ad30-c0d16491b1b4,Abílio Guedes,Abílio Guedes,,,,PSD,psd,desconhecido,Desconhecido,Assembleia da República,2,1982-07-01,1982-07-03,http://app.parlamento.pt/webutils/getimage.aspx?id=2911&type=deputado,,,Q595575,
8d41fee5-5f8b-4323-bc7d-ef92e39a50f2,Adalberto Neiva,Adalberto Neiva,,,,CDS,cds,porto,Porto,Assembleia da República,2,1980-11-13,1981-05-12,http://app.parlamento.pt/webutils/getimage.aspx?id=3434&type=deputado,,,Q1054298,Q322792
ed8803c2-e941-4e37-bd21-ad1b9f22ced6,Adalberto Ribeiro,Adalberto Ribeiro,,,,PCP,pcp,desconhecido,Desconhecido,Assembleia da República,2,1982-03-04,1982-03-06,http://app.parlamento.pt/webutils/getimage.aspx?id=3674&type=deputado,,,Q769829,
6782d425-f026-4413-910e-94e1f0b81e47,Adelino Carvalho,Adelino Carvalho,,,,PS,ps,porto,Porto,Assembleia da República,2,1980-11-13,,http://app.parlamento.pt/webutils/getimage.aspx?id=3534&type=deputado,,,Q847263,Q322792
7c747b80-6fa5-421d-8602-be719d52f2bb,Adriano Moreira,Adriano Moreira,,,,CDS,cds,bragança,Bragança,Assembleia da República,2,1980-11-03,1981-06-08,http://app.parlamento.pt/webutils/getimage.aspx?id=223&type=deputado,male,Q4685594,Q1054298,Q373528
179fa1a8-28c7-4a39-ac51-0cc559ad5092,Adriano Pinto,Adriano Pinto,,,,PSD,psd,porto,Porto,Assembleia da República,2,1982-02-11,1982-02-27,http://app.parlamento.pt/webutils/getimage.aspx?id=5&type=deputado,male,,Q595575,Q322792
d6191263-763f-45e5-84a4-b894cdc40a15,Adriano Rodrigues,Adriano Rodrigues,,,,CDS,cds,porto,Porto,Assembleia da República,2,1980-11-13,1981-07-09,http://app.parlamento.pt/webutils/getimage.aspx?id=3586&type=deputado,,,Q1054298,Q322792
f3ec7ab3-2527-4d2e-9f70-a21385cdd519,Adérito Campos,Adérito Campos,,,,PSD,psd,aveiro,Aveiro,Assembleia da República,2,1980-11-03,1982-06-24,http://app.parlamento.pt/webutils/getimage.aspx?id=4&type=deputado,,,Q595575,Q210527
df09a090-fcca-42f7-a39a-e43b0ebc6e9a,Afonso Moura Guedes,Afonso Moura Guedes,,,,PSD,psd,lisboa,Lisboa,Assembleia da República,2,1980-11-13,1982-08-12,http://app.parlamento.pt/webutils/getimage.aspx?id=2906&type=deputado,,,Q595575,Q207199
5946acf8-ae51-4b94-bebd-ba99661f391f,Alberto Antunes,Alberto Antunes,,,,PS,ps,guarda,Guarda,Assembleia da República,2,1980-11-13,,http://app.parlamento.pt/webutils/getimage.aspx?id=1711&type=deputado,male,,Q847263,Q273533
fc17398b-6fac-4210-9c72-4aa76979b972,Alberto Araújo,Alberto Araújo,,,,PSD,psd,porto,Porto,Assembleia da República,2,1982-07-01,1982-08-01,http://app.parlamento.pt/webutils/getimage.aspx?id=7&type=deputado,,,Q595575,Q322792
