id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender,wikidata,wikidata_group,wikidata_area
8fab7216-06bb-455e-ad0d-11867bb85d95,1,1,,,,unknown,unknown,hon._james_taom,Hon. James Taom,Parliament,9,,,,,,,
4839a18a-0291-490d-b8fb-e0224457a79d,10,10,,,,unknown,unknown,hon._atarake_nataara,Hon. Atarake Nataara,Parliament,9,,,,,,,
6d7b3056-ac3b-41ac-87fa-e0831292fbef,11,11,,,,unknown,unknown,hon._emil_shutz,Hon. Emil Shutz,Parliament,9,,,,,,,
fe879f25-f3c9-4d7f-8479-75aaac441b5a,12,12,,,,unknown,unknown,hon._boutu_bateriki,Hon. Boutu Bateriki,Parliament,9,,,,,,,
33672006-7ee5-49c6-9eb5-0bc4e2b129ef,13,13,,,,unknown,unknown,hon._kourabi_nenem,Hon. Kourabi Nenem,Parliament,9,,,,,,,
00b4c055-35e2-4e21-97e9-ab84ffa0e751,14,14,,,,unknown,unknown,hon._taoaba_kaiea,Hon. Taoaba Kaiea,Parliament,9,,,,,,,
c46b24d3-db47-4a32-aa30-ac8f3747dee9,15,15,,,,unknown,unknown,hon._shiu-fung_jong,Hon. Shiu-fung Jong,Parliament,9,,,,,,,
62f04e64-5c35-45f3-b6bf-37e54a3a0529,16,16,,,,unknown,unknown,hon._ioteba_redfern,Hon. Ioteba Redfern,Parliament,9,,,,,,,
8b498988-6e91-4956-9b4a-476395140d36,17,17,,,,unknown,unknown,hon._tebao_awerika,Hon. Tebao Awerika,Parliament,9,,,,,,,
607c871e-1e95-4ec1-9dbb-1d0dbe700403,18,18,,,,unknown,unknown,hon._tangariki_reete,Hon. Tangariki Reete,Parliament,9,,,,,,,
03d14219-d91f-40b8-b2c4-e10b86a90013,19,19,,,,unknown,unknown,hon._david_collins,Hon. David Collins,Parliament,9,,,,,,,
2757fcd8-677a-47e0-b6d3-dbda48ac3d6d,2,2,,,,unknown,unknown,hon._pinto_katia,Hon. Pinto Katia,Parliament,9,,,,,,,
e433236a-78b5-4e04-a95e-a4c3e6f9c460,20,20,,,,unknown,unknown,hon._kaure_baabo,Hon. Kaure Baabo,Parliament,9,,,,,,,
287e1eb3-9c1a-4518-ad1a-803cb5770592,21,21,,,,unknown,unknown,hon._banuera_berina,Hon. Banuera Berina,Parliament,9,,,,,,,
45d3d5fe-3a02-4934-9251-50f323bef2b9,22,22,,,,unknown,unknown,hon._tianeti_ioane,Hon. Tianeti Ioane,Parliament,9,,,,,,,
79a9f555-afc6-4ec1-9979-9d9b3ee1da54,23,23,,,,unknown,unknown,hon._willie_tokataake,Hon. Willie Tokataake,Parliament,9,,,,,,,
9c8b6f11-fb5d-4f21-b326-33a72d8f60d8,24,24,,,,unknown,unknown,hon._natan_teewe,Hon. Natan Teewe,Parliament,9,,,,,,,
5b2d9c22-7bf1-4e8b-95a6-778b76e0e7ed,25,25,,,,unknown,unknown,hon._bonteman_tabera,Hon. Bonteman Tabera,Parliament,9,,,,,,,
435fdefd-2c6d-43ff-be67-a3803029dba2,26,26,,,,unknown,unknown,hon._sir_ieremia_tabai,Hon. Sir Ieremia Tabai,Parliament,9,,,,,,,
e13e7a8d-281d-44d7-b877-ed64fa112df0,27,27,,,,unknown,unknown,hon._kobebe_taitai,Hon. Kobebe Taitai,Parliament,9,,,,,,,
2862041a-85a7-4469-9f00-2c499ecb1183,28,28,,,,unknown,unknown,hon._taberannang_timeon,Hon. Taberannang Timeon,Parliament,9,,,,,,,
3074fc21-1623-41fa-bef0-b24f2fcfc3c1,29,29,,,,unknown,unknown,hon._titabu_taabane,Hon. Titabu Taabane,Parliament,9,,,,,,,
80821bb0-7f98-428a-8f2a-019a7ef848be,3,3,,,,unknown,unknown,hon._alexander_teabo,Hon. Alexander Teabo,Parliament,9,,,,,,,
dd1afaf5-52d6-473f-961c-1c51bd1a7ef6,30,30,,,,unknown,unknown,hon._taneti_maamau,Hon. Taneti Maamau,Parliament,9,,,,,,,
0ad644df-f48b-47c5-981b-9632a05f290e,31,31,,,,unknown,unknown,hon._kouraiti_beniato,Hon. Kouraiti Beniato,Parliament,9,,,,,,,
383370be-224d-4c94-b30e-289f073e24f7,32,32,,,,unknown,unknown,hon._tetabo_nakara,Hon. Tetabo Nakara,Parliament,9,,,,,,,
b3d1528a-6508-4c78-b275-fade8771eb9a,33,33,,,,unknown,unknown,hon._engiran_iuta,Hon. Engiran Iuta,Parliament,9,,,,,,,
8c56f4cf-cc62-463b-af44-0e327b011c5b,34,34,,,,unknown,unknown,hon._tauanei_marea,Hon. Tauanei Marea,Parliament,9,,,,,,,
9f286c3b-34b9-483b-8d86-1c6cfa2d984e,35,35,,,,unknown,unknown,hon._rimeta_beniamina,Hon. Rimeta Beniamina,Parliament,9,,,,,,,
247bdf51-b012-4274-a528-58f5b6fdc584,36,36,,,,unknown,unknown,hon._tekeeua_tarati,Hon. Tekeeua Tarati,Parliament,9,,,,,,,
