id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
f458b5c4-c8cc-458a-95c7-0d0c7a7a61f8,!Naruseb Alpheus,!Naruseb Alpheus,,,,SWAPO,SWAPO,,,National Assembly,5,,,http://www.parliament.gov.na/images/nationalassemblymembers/37_hon._alpheus_naruseb.jpg,
09079552-3e0b-4f24-aab1-9bfaf64a59a4,!Nawases-Tayele Evelyn,!Nawases-Tayele Evelyn,,,,SWAPO,SWAPO,,,National Assembly,5,,,http://www.parliament.gov.na/images/nationalassemblymembers/142_nawases_e.jpg,
5d5cafef-dc11-42e6-9df2-d21d1122bb41,//Garoeb Justus,//Garoeb Justus,,,,UDF,UDF,,,National Assembly,5,,,http://www.parliament.gov.na/images/nationalassemblymembers/566_183_hon__justus_garoeb.jpg,
7c9bbfd3-8909-428c-bca7-349a6c6300b3,//Gowases Clara,//Gowases Clara,,,,RP,RP,,,National Assembly,5,,,http://www.parliament.gov.na/images/nationalassemblymembers/clara.jpg,
3846558c-5303-47f1-bc46-adc689ece8cb,Amathila Ben,Amathila Ben,,,,SWAPO,SWAPO,,,National Assembly,5,,,http://www.parliament.gov.na/images/nationalassemblymembers/201_a_ben.jpg,
8eb586c6-4a28-4a4c-a8b9-a00c891d6fe2,Amweelo Moses,Amweelo Moses,,,,SWAPO,SWAPO,,,National Assembly,5,,,http://www.parliament.gov.na/images/nationalassemblymembers/137_moses_a.jpg,
6ded928d-5df2-47a4-8a71-9bc5425f512e,Angula Nahas,Angula Nahas,,,,SWAPO,SWAPO,,,National Assembly,5,,,http://www.parliament.gov.na/images/nationalassemblymembers/8_hon__nahas_g_angula.jpg,
c1306479-ac70-4ce9-ac5e-232a782fc9d6,"Ankama, Samuel","Ankama, Samuel",,,,SWAPO,SWAPO,,,National Assembly,5,,,http://www.parliament.gov.na/images/nationalassemblymembers/148_hon__samuel_chief_ankama.jpg,
b881afa2-deb1-48fc-9529-6c9904cf0ddf,Beukes Priscilla,Beukes Priscilla,,,,SWAPO,SWAPO,,,National Assembly,5,,,http://www.parliament.gov.na/images/nationalassemblymembers/371_honbeukes.jpg,
3750ba37-6b2d-4db1-bd50-5b38a1623554,Bezuidenhout Stephanus,Bezuidenhout Stephanus,,,,SWAPO,SWAPO,,,National Assembly,5,,,http://www.parliament.gov.na/images/nationalassemblymembers/572_bezuidenh....jpg,
8e54d8e6-7009-4bfc-b695-871f4974d894,Dingara Elifas,Dingara Elifas,,,,SWAPO,SWAPO,,,National Assembly,5,,,http://www.parliament.gov.na/images/nationalassemblymembers/372_dingara_.jpg,
eeadbaa3-aa3f-4fb1-91b0-203fde43c3b2,Ekandjo Jerry,Ekandjo Jerry,,,,SWAPO,SWAPO,,,National Assembly,5,,,http://www.parliament.gov.na/images/nationalassemblymembers/246_jerry_ekandjo.jpg,
8f465636-8c64-46fe-9ca5-c08d9b72a77c,Esau Bernhardt,Esau Bernhardt,,,,SWAPO,SWAPO,,,National Assembly,5,,,http://www.parliament.gov.na/images/nationalassemblymembers/506_83_hon__bernhard_esau.jpg,
