id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
c6ad5043-bfed-43ab-a71d-2eddfaa69459,Andowa Generosa,Andowa Generosa,,,,SWAPO,SWAPO,,,National Council,2,,,http://www.parliament.na/images/nationalcouncil/g_andowa.jpg,
125adad2-a6c9-4677-880f-bcd9de2ec8a6,Basson Benedictus Franciskus,Basson Benedictus Franciskus,,,,SWAPO,SWAPO,,,National Council,2,,,http://www.parliament.na/images/nationalcouncil/f_basson.jpg,
a5a50ea3-e866-4e81-b012-a5beb8361f68,Cloete Samuel Petrus,Cloete Samuel Petrus,,,,DTA/UDF Coalition,UDF Coalition,,,National Council,2,,,http://www.parliament.na/images/nationalcouncil/s_cloete.jpg,
ac7001f2-1318-4c7b-8579-2c3f6102ac30,Dax Alfred Stefanus,Dax Alfred Stefanus,,,,SWAPO,SWAPO,,,National Council,2,,,http://www.parliament.na/images/nationalcouncil/a_dax.jpg,
6616e866-c5a6-4dca-82a5-405eaf57fba7,Eiseb Theofelus,Eiseb Theofelus,,,,SWAPO,SWAPO,,,National Council,2,,,http://www.parliament.na/images/nationalcouncil/t_eiseb.jpg,
0175fcd2-4a03-42ee-9cb9-ea444a773c59,Haingura Ambrosius,Haingura Ambrosius,,,,SWAPO,SWAPO,,,National Council,2,,,,
c5e3ca9c-55f3-4fce-92ec-3249ea9d6697,Hakaye Haikela Jhonny,Hakaye Haikela Jhonny,,,,SWAPO,SWAPO,,,National Council,2,,,http://www.parliament.na/images/nationalcouncil/j_hakaye.JPG,
ee0ae193-13c6-43d4-9b4e-4bddd56cba19,Hendjala Erasmus,Hendjala Erasmus,,,,SWAPO,SWAPO,,,National Council,2,,,http://www.parliament.na/images/nationalcouncil/e_hendjala.jpg,
79647f86-711b-4d1a-9e16-ec98c7b42301,Hifitikeko Lucas,Hifitikeko Lucas,,,,SWAPO,SWAPO,,,National Council,2,,,,
abc4d133-4201-4bde-8b95-3e2cf1ba0573,Hishikushitja Michael Ndapamapedu,Hishikushitja Michael Ndapamapedu,,,,SWAPO,SWAPO,,,National Council,2,,,http://www.parliament.na/images/nationalcouncil/m_hishikushitya.jpg,
54db53b9-cda4-4ab5-90d5-943fdd74c148,Hoveka Wilfred Uaonga,Hoveka Wilfred Uaonga,,,,SWAPO,SWAPO,,,National Council,2,,,,
a328083e-0145-46e6-b4ba-724709ec2c1f,Kaiyamo Hosea Nico,Kaiyamo Hosea Nico,,,,SWAPO,SWAPO,,,National Council,2,,,http://www.parliament.na/images/nationalcouncil/h_kaiyamo.jpg,
