id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender,wikidata,wikidata_group,wikidata_area
7e947c74-1c8b-4ffc-8ebd-6b02b911661f,Abel Benítez,Abel Benítez,,,,Libre,Q970952,Q866886,La Paz,National Congress,8,,,,male,,,
437e457c-d411-4924-afa7-3f8afae9a66a,Alberto Chedrani,Alberto Chedrani,,,,Nacional,Q1579466,Q767244,Cortés,National Congress,8,,,,male,,,
eafb4539-4fd1-4749-a967-5f62a482db93,Alejandra Mancia,Alejandra Mancia,,,,Libre,Q970952,Q591139,Santa Bárbara,National Congress,8,,,,female,,,
e06b0e31-5599-4be3-bb7c-2d19cde5e67c,Ana Fortín,Ana Fortín,,,,PAC,Q7140524,Q867126,Francisco Morazán,National Congress,8,,,,female,,,
6b785991-4062-430f-865e-f06038c8b31f,Antonio Rivera,Antonio Rivera,,,,Nacional,Q1579466,Q867126,Francisco Morazán,National Congress,8,,,,male,,,
0457fb6a-7d38-4992-b7e2-b32e1ddf59d9,Aníbal Calix,Aníbal Calix,,,,PAC,Q7140524,Q767244,Cortés,National Congress,8,,,,male,,,
aade48ba-2b78-435d-8f9a-0f0fb59b1f27,Arturo Bendaña,Arturo Bendaña,,,,Nacional,Q1579466,Q767244,Cortés,National Congress,8,,,,male,,,
ffbd8705-a0ad-4f47-a966-32611d93062b,Audelia Rodríguez,Audelia Rodríguez,,,,Libre,Q970952,Q622619,Atlántida,National Congress,8,,,,female,,,
a7704f7c-a84d-43f2-9955-8408ffc91c15,Augusto Cruz,Augusto Cruz,,,,DC,Q2689839,Q867126,Francisco Morazán,National Congress,8,,,,male,,,
90cb8ea0-feb1-452d-91af-e411b7995923,Bartolo Fuentes,Bartolo Fuentes,,,,Libre,Q970952,Q1123380,Yoro,National Congress,8,,,,male,,,
c9882d29-2b17-4221-af3f-af89842f55bc,Beatriz Valle,Beatriz Valle,,,,Libre,Q970952,Q867126,Francisco Morazán,National Congress,8,,,,female,,,
793ee085-e483-4402-a44f-2aad099ecd74,Carlos Interiano,Carlos Interiano,,,,Libre,Q970952,Q591139,Santa Bárbara,National Congress,8,,,,male,,,
b4b02c49-6315-48e3-953a-360937d84979,Carlos Lara,Carlos Lara,,,,Liberal,Q538272,Q899272,Choluteca,National Congress,8,,,,male,,,
0b8499c1-eda8-4045-9958-5b7093d39fe3,Carlos Ledezma,Carlos Ledezma,,,,Nacional,Q1579466,Q899272,Choluteca,National Congress,8,,,,male,,,
4f1b6606-885b-4de3-b098-dbbc7094ac51,Carmen Rivera,Carmen Rivera,,,,Nacional,Q1579466,Q622619,Atlántida,National Congress,8,,,,female,,,
4e9c25b2-8e07-48be-bfc8-a20d1509d0b4,Celin Discua,Celin Discua,,,,Nacional,Q1579466,Q867108,El Paraíso,National Congress,8,,,,,,,
5062954b-3712-4ee4-895e-562d3e14cc9a,Christian Santamaría,Christian Santamaría,,,,Liberal,Q538272,Q622619,Atlántida,National Congress,8,,,,male,,,
5a5484cb-8c38-4413-a8d5-576867aed2ab,Claudia Garmendia,Claudia Garmendia,,,,Libre,Q970952,Q867108,El Paraíso,National Congress,8,,,,female,,,
994d975f-c984-4c0f-9593-397ca5c9bc7f,César Agurcia,César Agurcia,,,,Libre,Q970952,Q622619,Atlántida,National Congress,8,,,,male,,,
922a4a4f-10a8-462e-bf44-25217967d0bf,César Handal,César Handal,,,,Nacional,Q1579466,Q591139,Santa Bárbara,National Congress,8,,,,male,,,
701a02bd-8223-496e-815a-e361e8a8b3cc,David Chávez,David Chávez,,,,Nacional,Q1579466,Q867126,Francisco Morazán,National Congress,8,,,,male,,,
9969a31c-59d7-4118-812c-92ad94c0eb3a,David Reyes,David Reyes,,,,PAC,Q7140524,Q899272,Choluteca,National Congress,8,,,,,,,
62791b38-faa4-478f-a196-12af1e51ffb2,Dennys Sánchez,Dennys Sánchez,,,,Libre,Q970952,Q591139,Santa Bárbara,National Congress,8,,,,male,,,
607b246d-2709-49fb-a708-e556ad6facdd,Diana Urbina,Diana Urbina,,,,Nacional,Q1579466,Q1123380,Yoro,National Congress,8,,,,female,,,
46ad298d-d48b-401b-afee-0602124ec3ee,Doris Gutiérrez,Doris Gutiérrez,,,,PINU-SD,Q6036212,Q867126,Francisco Morazán,National Congress,8,,,,female,,,
4b503a03-a229-4715-806e-e38602feec10,Edgardo Casana,Edgardo Casana,,,,Libre,Q970952,Q591139,Santa Bárbara,National Congress,8,,,,male,,,
50badc4a-b466-446b-82b6-8f74246c403c,Edgardo Castro,Edgardo Castro,,,,Libre,Q970952,Q767244,Cortés,National Congress,8,,,,male,,,
fe4cea41-d1d7-4659-b255-e2f04bd44047,Eduardo Coto,Eduardo Coto,,,,Libre,Q970952,Q767244,Cortés,National Congress,8,,,,male,,,
4c4b0c6f-3fd7-4523-831a-7e0752320605,Edwin Pavón,Edwin Pavón,,,,UD,Q5255838,Q767244,Cortés,National Congress,8,,,,male,,,
abc4fb2d-a2c5-4915-bf25-4b546745af8a,Elden Vásquez,Elden Vásquez,,,,Nacional,Q1579466,Q262125,Intibucá,National Congress,8,,,,male,,,
6720a512-c58c-4574-89e7-43ba835ef9cc,Eleazar Juárez,Eleazar Juárez,,,,Libre,Q970952,Q867097,Valle,National Congress,8,,,,male,,,
3a038a97-988f-449d-bfb8-7ea96cb695da,Elvia Argentina Valle,Elvia Argentina Valle,,,,Libre,Q970952,Q843984,Copán,National Congress,8,,,,female,,,
0f8a118e-5ba2-464e-bb11-ec573c6211ae,Esdras López,Esdras López,,,,Libre,Q970952,Q867126,Francisco Morazán,National Congress,8,,,,male,,,
