id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
aaron_ago_dagang,Aaron Ago Dagang,,,Parti Rakyat Sarawak,PRS,"Kanowit, Sarawak",Dewan Rakyat,11,,,,male
abdul_aziz_shamsuddin,Abdul Aziz Shamsuddin,,,United Malays National Organisation,UMNO,"Shah Alam, Selangor",Dewan Rakyat,11,,,,male
abdul_fatah_harun,Abdul Fatah Harun,,,Pan-Malaysian Islamic Party,PAS,"Rantau Panjang, Kelantan",Dewan Rakyat,11,,,,
abdul_ghapur_salleh,Abdul Ghapur Salleh,,,United Malays National Organisation,UMNO,"Kalabakan, Sabah",Dewan Rakyat,11,,,,male
abdul_halim_abdul_rahman,Abdul Halim Abdul Rahman,,,Pan-Malaysian Islamic Party,PAS,"Pengkalan Chepa, Kelantan",Dewan Rakyat,11,,,,male
abdul_hamid_zainal_abidin,Abdul Hamid Zainal Abidin,,,United Malays National Organisation,UMNO,"Parit Buntar, Perak",Dewan Rakyat,11,,,,
abdul_kadir_sheikh_fadzir,Abdul Kadir Sheikh Fadzir,,,United Malays National Organisation,UMNO,"Kulim-Bandar Baharu, Kedah",Dewan Rakyat,11,,,,
abdul_latiff_ahmad,Abdul Latiff Ahmad,,,United Malays National Organisation,UMNO,"Mersing, Johor",Dewan Rakyat,11,,,,male
abdul_rahim_bakri,Abdul Rahim Bakri,,,United Malays National Organisation,UMNO,"Kudat, Sabah",Dewan Rakyat,11,,,,male
abdul_rahman_ariffin,Abdul Rahman Ariffin,,,United Malays National Organisation,UMNO,"Jerlun, Kedah",Dewan Rakyat,11,,,,
abdul_rahman_bakar,Abdul Rahman Bakar,,,United Malays National Organisation,UMNO,"Marang, Terengganu",Dewan Rakyat,11,,,,
abdul_rahman_ibrahim,Abdul Rahman Ibrahim,,,United Malays National Organisation,UMNO,"Pokok Sena, Kedah",Dewan Rakyat,11,,,,male
abdul_taib_mahmud,Abdul Taib Mahmud,,,Parti Pesaka Bumiputera Bersatu,PBB,"Kota Samarahan, Sarawak",Dewan Rakyat,11,,,,male
abdullah_ahmad_badawi,Abdullah Ahmad Badawi,,,United Malays National Organisation,UMNO,"Kepala Batas, Penang",Dewan Rakyat,11,,,https://upload.wikimedia.org/wikipedia/commons/5/53/Abdullah_Badawi_2004.jpg,male
abdullah_md_zin,Abdullah Md Zin,,,United Malays National Organisation,UMNO,"Besut, Terengganu",Dewan Rakyat,11,,,,male
abu_bakar_taib,Abu Bakar Taib,,,United Malays National Organisation,UMNO,"Langkawi, Kedah",Dewan Rakyat,11,,,,male
abu_seman_yusop,Abu Seman Yusop,,,United Malays National Organisation,UMNO,"Masjid Tanah, Malacca",Dewan Rakyat,11,,,,male
adenan_satem,Adenan Satem,,,Parti Pesaka Bumiputera Bersatu,PBB,"Batang Sadong, Sarawak",Dewan Rakyat,11,,,,male
adham_baba,Adham Baba,,,United Malays National Organisation,UMNO,"Tenggara, Johor",Dewan Rakyat,11,,,,
ahmad_husni_hanadzlah,Ahmad Husni Hanadzlah,,,United Malays National Organisation,UMNO,"Tambun, Perak",Dewan Rakyat,11,,,https://upload.wikimedia.org/wikipedia/commons/b/b6/Datuk_Seri_Ahmad_Husni_Hanadzlah.png,male
ahmad_shabery_cheek,Ahmad Shabery Cheek,,,United Malays National Organisation,UMNO,"Kemaman, Terengganu",Dewan Rakyat,11,,,,male
ahmad_zahid_hamidi,Ahmad Zahid Hamidi,,,United Malays National Organisation,UMNO,"Bagan Datok, Perak",Dewan Rakyat,11,,,,male
