id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
e31ea165-6b17-44c0-8fc9-d37cc875cfac,ADRIAN HRISTOV ASENOV,ADRIAN HRISTOV ASENOV,adrian.asenov@parliament.bg,,,ATAKA Party,ataka_party,12,МОНТАНА,National Assembly,42,,,http://www.parliament.bg/images/Assembly/1501.png,male
aa76d0a7-d8dc-480e-bd6a-2ef8a60c568e,AHMED AHMEDOV BASHEV,AHMED AHMEDOV BASHEV,A.Bashev@parliament.bg,,,Movement for Rights and Freedoms,movement_for_rights_and_freedoms,1,БЛАГОЕВГРАД,National Assembly,42,,,http://www.parliament.bg/images/Assembly/1509.png,male
e7b8e383-31e2-4beb-839a-7c8e11a330ec,AKSENIYA BORISLAVOVA TILEVA,AKSENIYA BORISLAVOVA TILEVA,akseniya.tileva@parliament.bg,,,Political Party GERB,political_party_gerb,27,СТАРА ЗАГОРА,National Assembly,42,,,http://www.parliament.bg/images/Assembly/1500.png,female
5b484264-f57b-4acc-a7e9-0a04327a0803,ALEKSI VASILEV ALEKSIEV,ALEKSI VASILEV ALEKSIEV,aleksi.aleksiev@parliament.bg,,,Coalition for Bulgaria,coalition_for_bulgaria,3,ВАРНА,National Assembly,42,2013-07-31,,http://www.parliament.bg/images/Assembly/1732.png,
78b1bf6f-b475-4bc7-9207-336e72ac2b04,ALEXANDAR DIMITROV PAUNOV,ALEXANDAR DIMITROV PAUNOV,ALEXANDAR.PAUNOV@parliament.bg,,,Coalition for Bulgaria,coalition_for_bulgaria,26,СОФИЯ ОБЛАСТ,National Assembly,42,,,http://www.parliament.bg/images/Assembly/1499.png,
2b2c7417-03a4-4fb4-8e6a-3a0c823ecb03,ALEXANDAR HRISTOV METODIEV,ALEXANDAR HRISTOV METODIEV,alexandar.metodiev@parliament.bg,,,Movement for Rights and Freedoms,movement_for_rights_and_freedoms,26,СОФИЯ ОБЛАСТ,National Assembly,42,2013-07-19,,http://www.parliament.bg/images/Assembly/1730.png,
6d8be0b8-41d9-4c14-9bb9-f9fea3deefc1,ALIOSMAN IBRAIM IMAMOV,ALIOSMAN IBRAIM IMAMOV,aliosman.imamov@parliament.bg,,,Movement for Rights and Freedoms,movement_for_rights_and_freedoms,1,БЛАГОЕВГРАД,National Assembly,42,,2013-11-12,http://www.parliament.bg/images/Assembly/1497.png,
65f10443-4fb2-46b0-bcc1-fcb2677928a6,ANDON PETROV ANDONOV,ANDON PETROV ANDONOV,andon.andonov@parliament.bg,,,Political Party GERB,political_party_gerb,27,СТАРА ЗАГОРА,National Assembly,42,,,http://www.parliament.bg/images/Assembly/1689.png,
780eed25-d4cc-49c5-abc7-2a4094c0f630,ANELIYA DIMITROVA KLISAROVA,ANELIYA DIMITROVA KLISAROVA,,,,Coalition for Bulgaria,coalition_for_bulgaria,3,ВАРНА,National Assembly,42,,2013-05-29,http://www.parliament.bg/images/Assembly/1514.png,female
b6ac3e57-f4f9-4c26-8539-4fb9bdf3a962,ANGEL PETROV NAYDENOV,ANGEL PETROV NAYDENOV,,,,Coalition for Bulgaria,coalition_for_bulgaria,14,ПЕРНИК,National Assembly,42,,2013-05-29,http://www.parliament.bg/images/Assembly/1515.png,
b86bd54a-29e2-4586-b4c3-2c1f7495f01f,ANTON KONSTANTINOV KUTEV,ANTON KONSTANTINOV KUTEV,anton.kutev@parliament.bg,,,Coalition for Bulgaria,coalition_for_bulgaria,20,СИЛИСТРА,National Assembly,42,,,http://www.parliament.bg/images/Assembly/1513.png,
e8c4886a-16ee-408c-be91-afebc4b9dad5,ANTONIY YORDANOV YORDANOV,ANTONIY YORDANOV YORDANOV,antoniy.yordanov@parliament.bg,,,Political Party GERB,political_party_gerb,16,ПЛОВДИВ ГРАД,National Assembly,42,,,http://www.parliament.bg/images/Assembly/1512.png,
c095bc16-d3e2-43bf-a647-25b43a22e0a6,ATANAS IVANOV TASHKOV,ATANAS IVANOV TASHKOV,atanas.tashkov@parliament.bg,,,Political Party GERB,political_party_gerb,16,ПЛОВДИВ ГРАД,National Assembly,42,,,http://www.parliament.bg/images/Assembly/1662.png,
4f6679a8-0564-4da7-ad3b-382ee998e880,ATANAS STOYNOV PADEV,ATANAS STOYNOV PADEV,atanas.padev@parliament.bg,,,Coalition for Bulgaria,coalition_for_bulgaria,27,СТАРА ЗАГОРА,National Assembly,42,,,http://www.parliament.bg/images/Assembly/1694.png,male
7c9def4f-b895-4ef5-9ab1-d831372a23e2,ATANAS TODOROV MERDJANOV,ATANAS TODOROV MERDJANOV,atanas.merdjanov@parliament.bg,,,Coalition for Bulgaria,coalition_for_bulgaria,31,ЯМБОЛ,National Assembly,42,,2013-06-07,http://www.parliament.bg/images/Assembly/1510.png,
7c9def4f-b895-4ef5-9ab1-d831372a23e2,ATANAS TODOROV MERDJANOV,ATANAS TODOROV MERDJANOV,atanas.merdjanov@parliament.bg,,,Coalition for Bulgaria,coalition_for_bulgaria,31,ЯМБОЛ,National Assembly,42,2013-06-07,2014-06-25,http://www.parliament.bg/images/Assembly/1510.png,
7c9def4f-b895-4ef5-9ab1-d831372a23e2,ATANAS TODOROV MERDJANOV,ATANAS TODOROV MERDJANOV,atanas.merdjanov@parliament.bg,,,Coalition for Bulgaria,coalition_for_bulgaria,31,ЯМБОЛ,National Assembly,42,2014-06-25,,http://www.parliament.bg/images/Assembly/1510.png,
a18ef580-727f-4a26-9ae7-26ead1e9e4df,ATANAS ZAFIROV ZAFIROV,ATANAS ZAFIROV ZAFIROV,Atanas.Zafirov@parliament.bg,,,Coalition for Bulgaria,coalition_for_bulgaria,2,БУРГАС,National Assembly,42,,,http://www.parliament.bg/images/Assembly/1511.png,male
73039089-83b6-46a4-b31f-04fa1726b22a,BILYANA YORDANOVA BEKOVA,BILYANA YORDANOVA BEKOVA,bilyana.bekova@parliament.bg,,,Political Party GERB,political_party_gerb,25,СОФИЯ 3,National Assembly,42,2014-04-02,,http://www.parliament.bg/images/Assembly/2311.png,
b9d880c0-a6bc-4cb4-8048-17bcce9225dc,BORIS TSVETKOV TSVETKOV,BORIS TSVETKOV TSVETKOV,boris.tsvetkov@parliament.bg,,,Coalition for Bulgaria,coalition_for_bulgaria,24,СОФИЯ 2,National Assembly,42,,,http://www.parliament.bg/images/Assembly/1508.png,male
cf205e08-d306-4a9b-8274-f020f1025478,BORISLAV GUTSANOV GUTSANOV,BORISLAV GUTSANOV GUTSANOV,borislav.gutsanov@parliament.bg,,,Coalition for Bulgaria,coalition_for_bulgaria,3,ВАРНА,National Assembly,42,,,http://www.parliament.bg/images/Assembly/1507.png,male
21f92348-52bf-4f2e-8516-22c2b28ee6cb,BOYKO METODIEV BORISOV,BOYKO METODIEV BORISOV,boyko.borisov@parliament.bg,BoykoBorisov,,Political Party GERB,political_party_gerb,25,СОФИЯ 3,National Assembly,42,,,http://www.parliament.bg/images/Assembly/1660.png,male
